chunk_id,question
604727_8,Which company was the first to import coffee on a large scale?
604727_8,In what year did the first exports of Indonesian coffee from Java to the Netherlands occur?
604727_8,How did coffee become popular in England according to John Evelyn's diary entry?
604727_8,What impact did the Revolutionary War have on coffee demand in North America?
604727_9,What caused the increase in coffee demand during the Revolutionary War in North America?
604727_9,How did the popularity of tea affect coffee consumption in Britain during the 18th century?
604727_9,What was the role of Captain Haines in the coffee trade of Mokha?
604727_9,Who was Gabriel de Clieu and what was his contribution to the coffee industry?
604727_9,How did the conditions on coffee plantations impact the Haitian Revolution?
604727_10,What significant event occurred in the 19th century that impacted the trade of Mokha coffee?
604727_10,Who was Gabriel de Clieu and what contribution did he make to coffee cultivation?
604727_10,"How did the coffee industry in Saint-Domingue, now Haiti, affect the Haitian Revolution?"
604727_10,What transformation in coffee cultivation took place in Brazil after its independence in 1822?
604727_10,What percentage of the world's coffee did Brazil export between 1910 and 1920?
604727_11,What role did Yemen play in the history of coffee production?
604727_11,When was coffee introduced to Brazil and when did its cultivation gain momentum?
604727_11,What percentage of the world's coffee did Brazil export between 1910 and 1920?
604727_11,How did the coffee cultivation impact indigenous people in Central America during the 19th century?
604727_11,What was the trend in coffee consumption in the United States between 1860 and 1920?
604727_12,What factors prevented the formation of large coffee farms in Costa Rica?
604727_12,How did coffee consumption in the United States change from 1860 to 1920?
604727_12,Which countries were considered the largest consumers of coffee per capita before the United States?
604727_12,Why has coffee become a vital cash crop for developing countries?
604727_12,What are the two main species of coffee commercially cultivated and where are they native to?
604727_13,Which countries have become dependent on coffee as their primary source of income?
604727_13,What are the two main species of coffee that are commercially cultivated?
604727_13,Where is C. arabica originally native to?
604727_13,How tall can coffee plants grow when unpruned?
604727_13,What is the average time it takes for Arabica berries to ripen compared to Robusta berries?
604727_14,What is the typical size and appearance of coffee leaves mentioned in the article?
604727_14,How do C. arabica and C. canephora differ in terms of pollination and seed production?
604727_14,What are the common vegetative propagation methods for coffee plants referenced in the text?
604727_14,"What is the traditional method of planting coffee seeds, and what is its associated seed loss rate?"
604727_14,Which countries or regions are indicated as suitable for coffee cultivation according to the article?
604727_15,What are the common methods used for the vegetative propagation of coffee species and hybrids?
604727_15,What is the traditional method of planting coffee seeds and what is its drawback?
604727_15,How does Brazil's approach to planting coffee seedlings differ from traditional methods?
604727_15,What percentage of the world's coffee production in 2020 did Brazil account for?
604727_15,What significant difference exists between arabica and robusta coffee in terms of flavor and caffeine content?
604727_16,What percentage of the world's coffee exports did Brazil account for in 2019?
604727_16,Why is arabica coffee generally considered more highly regarded than robusta coffee?
604727_16,What are the main advantages of robusta coffee compared to arabica?
604727_16,What historical significance does the collection of robusta coffee from the Lomani River hold?
604727_16,"How does coffee leaf rust affect coffee plants, and why has it impacted the cultivation of robusta coffee?"
604727_17,What are the key differences between robusta and arabica coffee beans?
604727_17,How did the robusta coffee strain first spread from its origin?
604727_17,What is coffee leaf rust and how does it affect coffee plants?
604727_17,How do taste characteristics of coffee beans vary by region?
604727_17,What is coffee wilt disease and what impact does it have on coffee production?
604727_18,What are the main factors that influence the taste characteristics of coffee?
604727_18,Which regions are known for cultivating Arabica coffee beans?
604727_18,What is coffee wilt disease and what causes it?
604727_18,How many species of insects are known to be pests of coffee crops?
604727_18,What pest management approach is preferred over mass spraying of insecticides and why?
604727_19,What percentage of coffee pests are beetles and bugs?
604727_19,What is the most damaging insect pest to the coffee industry?
604727_19,How does integrated pest management differ from mass spraying of insecticides?
604727_19,How do coffee borer beetles reproduce and what happens to their offspring?
604727_19,Which birds are known to help reduce coffee berry borer populations in Costa Rica?
604727_20,What is the impact of the coffee borer beetle on coffee production?
604727_20,"How do adult female coffee borer beetles reproduce, and what happens to their offspring?"
604727_20,Why are pesticides mostly ineffective against the coffee borer beetle?
604727_20,What ecological considerations are associated with traditional shade-grown coffee compared to sun cultivation?
604727_20,Which birds have been identified as natural predators of the coffee berry borer in Costa Rica?
604727_21,What is shade-grown coffee and how does it impact the environment compared to sun cultivation?
604727_21,What are some examples of tree species that are planted alongside shade-grown coffee?
604727_21,"How did coffee cultivation practices change starting in the 1970s, and what are the implications of these changes?"
604727_21,What are the benefits of traditional coffee production methods in terms of coffee quality?
604727_21,"Which organizations are advocating for shade-grown and organic coffee cultivation, and why?"
604727_22,What are the ecological benefits of traditional shaded coffee cultivation compared to sun cultivation?
604727_22,How does drought and climate change impact the quality of coffee according to The International Coffee Organization?
604727_22,What types of organizations are advocating for shade-grown and organic coffees?
604727_22,How much water is required to grow coffee beans for one cup of coffee?
604727_22,In which regions is coffee production especially challenging due to water shortages?
604727_23,What is the average amount of water needed to produce one cup of coffee?
604727_23,"How much water is required to grow 1 kg of roasted coffee in regions like Africa, South America, or Asia?"
604727_23,What are some uses for used coffee grounds mentioned in the article?
604727_23,Which countries are facing significant impacts on coffee yields due to climate change?
604727_23,What percentage of global coffee production was compliant with sustainability standards as of 2016?
604727_24,What percentage of global coffee production was compliant with sustainability standards as of 2016?
604727_24,How does climate change potentially affect coffee farming land in Nicaragua and Ethiopia?
604727_24,What are the two main methods of processing green coffee after harvesting?
604727_24,What is the difference between dry and wet processing methods for coffee?
604727_24,Why are drying tables considered to produce a more uniform drying effect for coffee?
604727_25,What is the process used for batch fermentation in coffee production?
604727_25,How does the drying method using raised beds affect the coffee?
604727_25,What unique process does kopi luwak coffee undergo?
604727_25,Why is kopi luwak coffee so expensive compared to regular coffee?
604727_25,What distinguishes black ivory coffee from other types of coffee?
604727_26,"What unusual process is used to create kopi luwak coffee, and how does it contribute to the coffee's unique characteristics?"
604727_26,"How expensive is kopi luwak coffee compared to other types of coffee, and what factors influence its price?"
604727_26,"What is the role of digestive enzymes in the production of black ivory coffee, and how does it affect the taste?"
604727_26,"At what temperature does the actual roasting of coffee beans begin, and how does this process affect the physical properties of the beans?"
604727_26,"What changes occur in the coffee beans during roasting, specifically regarding moisture loss and the transformation of starches?"
604727_27,What is the next step in coffee processing after the green coffee stage?
604727_27,At what temperature does the actual roasting process begin for coffee beans?
604727_27,How does roasting affect the physical and chemical properties of coffee beans?
604727_27,What oils develop during the roasting process and contribute to coffee's aroma?
604727_27,How are roasted beans graded based on their color?
604727_28,"What happens to sucrose during the roasting process, and how does it affect darker roasts?"
604727_28,"At what temperature does caffeol develop, and what role does it play in coffee?"
604727_28,"How are roasted coffee beans graded based on color, and what are the typical terms used commercially?"
604727_28,What factors influence the flavor and body of coffee based on the degree of roast?
604727_28,How does the expansion of coffee beans during roasting affect the caffeine content when measured by volume?
604727_29,What is the significance of roast degree in influencing the flavor and body of coffee?
604727_29,How does the color of brewed coffee relate to its roasting degree?
604727_29,What methods are commonly used for decaffeinating coffee seeds and what happens to the caffeine that is removed?
604727_29,"Why is it important to store coffee in an airtight container, and what materials are recommended for storage?"
604727_29,What effect does roasting have on the caffeine content of coffee beans when measured by volume?
604727_30,"What is the primary method for decaffeinating green coffee seeds, and what processes are involved?"
604727_30,How does the storage of coffee affect its freshness and flavor?
604727_30,Why is it not recommended to store coffee in the refrigerator?
604727_30,"What notable method for packing coffee was introduced in 1931, and how does it work?"
604727_30,What factors should be considered when choosing a method for brewing coffee?
604727_31,Why is it not recommended to store coffee in refrigerators?
604727_31,What was the method introduced in 1931 for packaging coffee?
604727_31,What are the optimal extraction temperatures for brewing coffee?
604727_31,What are the advantages of using a burr grinder over a blade grinder?
604727_31,How should ground coffee and water be mixed for optimal flavor extraction?
604727_32,What are the optimal temperature ranges for brewing and serving coffee as mentioned in the article?
604727_32,Can you explain the advantages of using a burr grinder over a blade grinder for coffee grinding?
604727_32,"What are the differences in grind sizes, and what brewing methods correspond to the finest and coarsest grinds?"
604727_32,"Which brewing methods for coffee are described in the article, and can you give an example of a method that involves boiling?"
604727_32,How does an automatic coffeemaker brew coffee according to the content provided?
604727_33,What is the earliest method of brewing coffee mentioned in the article?
604727_33,How do automatic coffeemakers brew coffee?
604727_33,What is the role of the coffee filter in drip brewing?
604727_33,What distinguishes the espresso method from other brewing methods?
604727_33,What is the significance of the crema in a well-prepared espresso?
604727_34,How does a coffee percolator work and what role does steam pressure play in this process?
604727_34,What is the significance of brewing espresso under high pressure compared to gravity-brewing methods?
604727_34,Can you explain the method of making cold brew coffee and how it differs from traditional hot-brewing methods?
604727_34,What are some common ways to serve brewed coffee and what additional ingredients can be included?
604727_34,What variations are there for serving espresso and how are they different from a standard espresso shot?
604727_35,What are the different ways that brewed coffee can be served?
604727_35,How is cold brew coffee different from standard hot-brewing methods?
604727_35,Can you explain the difference between caffè americano and a long black?
604727_35,What ingredients can be added to coffee to create 'functional coffee'?
604727_35,How is iced coffee different from regular brewed coffee?
604727_36,What is the difference between a caffè latte and a cappuccino in terms of milk preparation?
604727_36,How is a flat white different from a latte in terms of milk volume?
604727_36,What are some alcoholic beverages that incorporate coffee?
604727_36,What are the potential health claims associated with functional coffee drinks?
604727_36,Who invented instant coffee and when was it invented?
604727_37,What are some common additions used in functional coffee drinks?
604727_37,How does the caffeine content of mushroom coffee compare to standard coffee?
604727_37,What potential health risks are associated with high amounts of reishi mushroom in coffee?
604727_37,Who invented instant coffee and when was it first created?
604727_37,What significant change occurred in the production of instant coffee since the late 1970s?
604727_38,What product gained popularity for instant coffee in the post-war period?
604727_38,Which countries are the leading producers of green coffee beans in 2023?
604727_38,What are the ticker symbols for coffee futures contracts traded on the New York Mercantile Exchange?
604727_38,How was coffee inaccurately described by some historians since the 1970s?
604727_38,What was the ranking of coffee among the most valuable commodities exported by developing countries until around 2000?
604727_39,What is the ticker symbol for coffee futures traded on the New York Mercantile Exchange?
604727_39,When do contract deliveries for coffee futures occur throughout the year?
604727_39,What was coffee considered in terms of value for developing countries from 1970 to 2000?
604727_39,Which countries are the highest coffee consumers measured per capita per year?
604727_39,What date is International Coffee Day celebrated and where did it originate?
604727_40,What countries have the highest coffee consumption per capita per year?
604727_40,How much coffee does Finland consume per person annually?
604727_40,What is the significance of International Coffee Day and when is it celebrated?
604727_40,What brewing method remains the most popular for making coffee in the U.S.?
604727_40,How did the coffee market impact Brazil's economy in the early 19th century?
604727_41,What was the percentage increase in coffee consumption in the U.S. from 2004 to the survey conducted in April 2024?
604727_41,Which brewing method remains the most popular for coffee preparation according to the article?
604727_41,How did the coffee industry influence Brazilian immigration patterns in the early 20th century?
604727_41,"What proportion of Brazil's exports does coffee represent, as stated in the excerpt?"
604727_41,How many kilometers of railroads were commissioned in Brazil between 1860 and 1885 to support coffee production?
604727_42,What demographic changes occurred in São Paulo due to coffee production in the early 20th century?
604727_42,How did the quantity of coffee produced in São Paulo change from 1880 to 1902?
604727_42,What percentage of Brazil's exports does coffee represent?
604727_42,When did the concept of fair trade labeling for coffee begin?
604727_42,What have studies shown about the impact of fair trade coffee on growers' communities?
604727_43,What is the origin of the fair trade coffee labeling concept?
604727_43,What was the volume of fair trade coffee produced in 2004 and 2005?
604727_43,How have fair trade coffee initiatives impacted communities according to studies?
604727_43,What significant decision did Starbucks make regarding fair trade coffee in 2000?
604727_43,What discrepancy was found in consumer behavior related to fair trade coffee pricing?
604727_44,What year did Starbucks start offering fair-trade coffee in its stores?
604727_44,What percentage of European consumers were willing to pay more for ethical products according to the 2005 study?
604727_44,How does specialty coffee influence trading relationships between roasters and producers?
604727_44,What does 'fairly trade' mean in the context of coffee transactions?
604727_44,"How is some coffee sold through internet auctions, and what criteria are used to select the best coffees?"
604727_45,What are the benefits of a roaster developing a relationship with a coffee producer?
604727_45,How do some coffee roasters ensure price transparency when selling their products?
604727_45,What is the typical caffeine content found in brewed coffee and espresso?
604727_45,What health effects or risks are associated with consuming 3–4 cups of coffee per day?
604727_45,How does the American Heart Association's 2026 statement relate to daily coffee consumption recommendations?
604727_46,What is the caffeine content in brewed coffee made from typical grounds and tap water?
604727_46,"According to the American Heart Association, how many cups of coffee may benefit cardiovascular health?"
604727_46,What are the potential health risks associated with coffee consumption mentioned in the article?
604727_46,"What compounds are present in coffee, and what is their potential health benefit?"
604727_46,What does the article say about the laxative effects of coffee consumption?
604727_47,What are the potential cardiovascular benefits associated with daily coffee consumption based on the scientific review?
604727_47,"What is the safe range of coffee intake per day, and what exceptions might apply to specific populations?"
604727_47,Is there any known mechanism for how habitual coffee consumption affects cardiovascular health?
604727_47,How does the caffeine content vary between different types of coffee and brewing methods?
604727_47,"What temperature does caffeine remain stable, and at what temperature does it completely decompose?"
604727_48,What is the primary psychoactive component of coffee and what is its role as a receptor antagonist?
604727_48,How does the brewing method affect the caffeine content in a cup of coffee?
604727_48,What temperature range does caffeine remain stable during coffee preparation?
604727_48,Can you provide the historical significance of coffeehouses and when the first one was established?
604727_48,"What is the contemporary title for a coffee beverage maker, and which organizations help set standards for them?"
604727_49,What role does coffee play in formal meals according to the article?
604727_49,"When and where did the first coffeehouse open, and who opened it?"
604727_49,What is the modern terminology for someone who prepares coffee beverages?
604727_49,How did the coffee break originate in the United States and what event celebrates it?
604727_49,What was the debate surrounding the consumption of coffee in the Islamic world during the 16th century?
604727_50,"What annual event does Stoughton, Wisconsin celebrate that centers around coffee?"
604727_50,How did the concept of the coffee break become integrated into union contracts?
604727_50,Who was instrumental in popularizing coffee breaks in American culture during the mid-20th century?
604727_50,What was the debate concerning coffee within the Islamic world during the early 16th century?
604727_50,Why did King Charles II of England outlaw coffeehouses in his reign?
604727_51,What are some of the Christian groups that discourage coffee consumption?
604727_51,Why did Ethiopian Orthodox Christians avoid coffee until the end of the 19th century?
604727_51,What political reasons led to the prohibition of coffee in England and Prussia?
604727_51,What is the humorous composition by Johann Sebastian Bach related to coffee addiction?
604727_51,What are the possible origins of the phrase 'cup of Joe' for coffee?
604727_52,What was Johann Sebastian Bach's contribution to coffee culture in the early 18th century?
604727_52,Could you explain the origin of the phrase 'cup of Joe' related to coffee?
604727_52,Is the story about US Secretary of the Navy Josephus 'Joe' Daniels banning alcohol on navy ships confirmed or disputed?
604727_52,What is the connection between the nickname 'jamoke' and the term 'cup of Joe'?
604727_52,Why is coffee often referred to as the drink of the average Joe?
604727_53,What is the title of the book by Mark Pendergrast that discusses the history of coffee?
604727_53,Can you tell me about the book 'The Joy of Coffee' by Corby Kummer?
604727_53,Which publication covers the technology aspect of coffee edited by Ronald James Clarke and R. Macrae?
604727_53,What are the main topics covered in 'The World of Caffeine' by Bennett Alan Weinberg and Bonnie K. Bealer?
604727_53,Is there a publication that serves as a bibliography on coffee authored by Richard Von Hünersdorff?
604727_54,What is the title of the book authored by Bennett Alan Weinberg and Bonnie K. Bealer?
604727_54,Who published the book 'Coffee: The Epic of a Commodity' and when was it published?
604727_54,Can you name a relevant article published in The New York Times about coffee?
604727_54,What is the ISBN of 'The professional barista's handbook'?
604727_54,Which publication contains a bibliographic guide to literature on coffee?
604727_55,What is the title of the article that discusses the science behind making coffee?
604727_55,Who authored the article that explores coffee consumption in the context of Sufism?
604727_55,In which volume of the Encyclopædia Britannica can I find information about coffee?
604727_55,What is the main topic of Scott Rao's published book on coffee?
604727_55,Which study links Greek coffee consumption with improved endothelial function?
47660_0,What is the process of making espresso and how does it differ from regular coffee brewing methods?
47660_0,What are the typical serving size and characteristics of an espresso drink?
47660_0,How does the caffeine content of espresso compare to that of drip coffee?
47660_0,What factors influence the quality of an espresso shot?
47660_0,What role does espresso play in the third-wave coffee movement and coffee shop culture?
47660_1,What factors influence the quality of espresso as mentioned in the article?
47660_1,How does the article explain the cultural significance of espresso?
47660_1,Can you describe the different meanings of the word 'espresso' according to the excerpt?
47660_1,What are the historical points mentioned about early espresso machines?
47660_1,Why do some English speakers incorrectly pronounce 'espresso' as 'expresso' according to the text?
47660_2,What is the historical significance of the first espresso machines developed by Bezzera and Pavoni in 1906?
47660_2,How did the term 'crema caffè' relate to the concept of modern espresso?
47660_2,Why have English speakers sometimes pronounced espresso as expresso since the 1940s?
47660_2,What is the Italian meaning of the term espresso and how does it differ from the term caffè?
47660_2,"What do recent authorities, like Oxford Dictionaries online, say about the spelling of expresso compared to espresso?"
47660_3,What does the Oxford Dictionary say about the spelling of 'expresso' as of 2016?
47660_3,"What is the Italian term commonly used for espresso, and what does it literally mean?"
47660_3,Who invented the coffee machine that used steam to propel coffee in 1884?
47660_3,What historical context contributed to the popularity of coffee in Italy by the mid-19th century?
47660_3,"According to Slate magazine, what is the general consensus on the use of 'expresso' in terms of correctness?"
47660_4,What was the significance of coffee houses that emerged in Italy during the 17th century?
47660_4,Who was Angelo Moriondo and what was his contribution to coffee brewing technology?
47660_4,How did the economic changes in the 1890s influence coffee brewing practices in Italy?
47660_4,What was Luigi Bezzera's invention and how did it change the way coffee was served?
47660_4,What role did Desiderio Pavoni play in the development of coffee brewing machines after 1903?
47660_5,What were the significant features of Moriondo's early espresso machine?
47660_5,How did Bezzera's invention improve the brewing process for coffee?
47660_5,What modifications did Desiderio Pavoni make to Bezzera's espresso machine?
47660_5,What issues did early espresso machines have regarding taste and appearance?
47660_5,How did the market for espresso expand in the years following World War I?
47660_6,What modifications did the inventor make to the espresso machine design in 1905?
47660_6,"Why did early espresso machines produce a burnt, bitter taste?"
47660_6,What factors contributed to the expansion of the espresso market beyond Milan?
47660_6,How did the appearance and design of espresso machines change by the 1920s?
47660_6,What was the impact of World War I on the espresso drinking habits of young Italian men?
47660_7,What were the challenges faced by espresso machine manufacturers in the early years?
47660_7,How did the design of espresso machines evolve by the 1920s?
47660_7,What trend emerged in the 1930s regarding coffee consumption habits in Italy?
47660_7,What significant developments did Achille Gaggia contribute to espresso machine technology?
47660_7,What impact did the Great Depression have on coffee consumption in Italy?
47660_8,What challenges did manufacturers face in creating espresso machines that use higher pressures without burning the coffee?
47660_8,"Who registered the patent for the Illetta machine in 1935, and what was unique about its operation?"
47660_8,How did the piston mechanism developed by Gaggia in 1947 contribute to the brewing process of espresso?
47660_8,What innovation did the Cimbali company introduce in their espresso machine designs?
47660_8,What was the significance of Ernesto Valente's invention of the Faema E61 in 1961?
47660_9,What atmospheric pressure is water shot through when making espresso?
47660_9,Which company began selling espresso machines emphasizing crema?
47660_9,What significant innovation did Ernesto Valente introduce in 1961?
47660_9,How did the Faema E61 improve the espresso-making process?
47660_9,What resemblance does the viscosity of espresso have compared to another substance?
47660_10,What mechanism did the Faema E61 use to pressurize water for brewing espresso?
47660_10,How did the design of the Faema E61 influence barista interaction with customers?
47660_10,Why is espresso generally thicker than coffee brewed by other methods?
47660_10,How does the caffeine content of a single serving of espresso compare to that of a typical serving of drip coffee?
47660_10,"What are the three phases that make up an espresso, and how do they contribute to its texture?"
47660_11,What is the typical serving size for a shot of espresso and how does it compare to other coffee drinks?
47660_11,How much caffeine is found in a standard 30 ml serving of espresso?
47660_11,"What are the three phases present in an espresso, and how do they contribute to its texture?"
47660_11,"How is the crema in espresso formed, and what makes it unique compared to other brewing methods?"
47660_11,What nutritional benefits does espresso provide in a 100 ml serving?
47660_12,What is crema and how is it produced in espresso?
47660_12,What nutritional components are found in espresso according to the article?
47660_12,Can you explain the process of making espresso as mentioned in the excerpt?
47660_12,What does 'pulling' an espresso refer to in the context of espresso preparation?
47660_12,Are there specific standards for making a 'certified Italian espresso' according to the Italian Espresso National Institute?
47660_13,What are the key parameters defined by institutions for making an espresso?
47660_13,What does the term 'pulling' an espresso refer to?
47660_13,How does tamping affect the espresso brewing process?
47660_13,What are the typical roast preferences for espresso in southern versus northern Italy?
47660_13,"Can you explain the differences between single, double, and triple espresso sizes?"
47660_14,What are the different sizes of espresso and how much ground coffee is used for each?
47660_14,"Can you explain the terms doppio, solo, and triplo in relation to espresso sizes?"
47660_14,"How do the basket designs differ between single, double, and triple espressos?"
47660_14,What are the standard lengths of espresso and what do they correspond to in terms of ground coffee and extraction?
47660_14,How do American cafés refer to espresso-based drinks that contain three or four espressos?
47660_15,"What are the different types of espresso beverages mentioned in the article, specifically regarding their volume and extraction time?"
47660_15,How does the design of double baskets differ between the Faema model and La Marzocco according to the excerpt?
47660_15,What is the standard volume of water used for brewing a double espresso and how does it compare to a double ristretto?
47660_15,Can you explain the significance of grind size for different espresso lengths such as ristretto and lungo?
47660_15,"What is caffè crema, and how does its preparation differ from that of a lungo?"
47660_16,"What is the typical water volume used for a double espresso, and how does it compare to a double ristretto?"
47660_16,"How are ristretto, normale, and lungo different in terms of grind size and extraction time?"
47660_16,What is the size range of a caffè crema and how does it differ from a lungo?
47660_16,What is the main purpose of adjusting the grind size for different espresso types?
47660_16,"What was the first home espresso machine, and what followed it in the market?"
47660_17,What are some popular home espresso machines mentioned in the article?
47660_17,How is espresso typically served when not served by itself?
47660_17,What is the volume range of a standard espresso shot?
47660_17,Can you list some variations of espresso-based drinks provided in the excerpt?
47660_17,What is the first home espresso machine that was introduced according to the text?
2796757_0,What chemical changes occur in green coffee beans during the roasting process that affect their flavor?
2796757_0,Why is green coffee considered to be more stable than roasted coffee beans?
2796757_0,How has the trend toward single-origin coffees impacted small-scale commercial roasting?
2796757_0,What historical evidence exists regarding the deliberate roasting of coffee beans in Yemen?
2796757_0,What advancements in roasting techniques appeared after the first cylinder roaster was made in Cairo around 1650?
2796757_1,What techniques did Arab communities in Yemen develop for coffee preparation in the 15th century?
2796757_1,What were the characteristics of the earliest roasting implements used in the Ottoman Empire and Greater Persia?
2796757_1,How did the design of coffee roasters evolve in the 17th century in Cairo?
2796757_1,What impact did the 19th-century patents for commercial roasters have on home roasting practices?
2796757_1,Why did Burns predict that home roasting would soon disappear despite its popularity?
2796757_2,What were some popular methods of home roasting coffee in the 19th century?
2796757_2,How did commercial roasting inventions impact the home roasting trend?
2796757_2,What significant marketing breakthrough occurred with the Arbuckle Brothers in 1864?
2796757_2,When were the first electric roasters patented in the U.S. and Germany?
2796757_2,How did home roasting in France compare to commercial roasting after the 1920s?
2796757_3,What major advancements in coffee roasting occurred in the 1860s and 1870s?
2796757_3,How did the invention of the one-pound paper bag by the Arbuckle Brothers impact coffee sales?
2796757_3,"What significance did electric roasters, patented in the early 1900s, have on coffee roasting?"
2796757_3,In what ways did home roasting differ from commercial roasting in France before the 1920s?
2796757_3,"What trends in coffee culture emerged in the 1950s, particularly related to specialty coffeehouses?"
2796757_4,What types of appliances are commonly used for home coffee roasting?
2796757_4,How did the emergence of speciality coffeehouses in the 1950s coincide with the popularity of instant coffee?
2796757_4,What notable home coffee roaster was made in West Germany during the 1970s and what was its significance?
2796757_4,What trends occurred in the gourmet coffee industry throughout the 1980s and 1990s?
2796757_4,What steps are involved in the coffee roasting process before brewing?
2796757_5,Who patented a competing hot air design for coffee roasting in the U.S.?
2796757_5,What surge occurred between 1986 and 1999 regarding home roasting appliances?
2796757_5,What happens to the coffee beans at around 175 °C during the roasting process?
2796757_5,How much mass do coffee beans typically lose during roasting?
2796757_5,What do simple sugars present in green coffee beans undergo at roasting temperatures?
2796757_6,What happens to the temperature of coffee beans during the roasting process around 175 °C?
2796757_6,"How much mass do coffee beans lose during roasting, and what primarily causes this loss?"
2796757_6,What are some methods used to cool roasted coffee beans after the roasting cycle?
2796757_6,Can you explain the difference between drum and hot-air roasting machines?
2796757_6,"How do sugars react during the roasting process, and what flavor notes can they create?"
2796757_7,What is a 'butter roast' and how is it traditionally prepared in Vietnam?
2796757_7,What are the two basic types of coffee roasting machines mentioned in the article?
2796757_7,How do drum roasters operate and what heat sources are commonly used?
2796757_7,What factors might influence the determination of a coffee roast profile?
2796757_7,What is a roast profile and how can it be represented visually?
2796757_8,What are the names used by coffee roasters to indicate different degrees of roast and what do they refer to?
2796757_8,How do roast profiles affect the flavor characteristics of coffee?
2796757_8,What factors should be considered when determining the best roast profile for coffee?
2796757_8,How can the degree of roast be evaluated based on the color of the coffee beans?
2796757_8,What methods are commonly used by roasters to monitor the roasting process?
2796757_9,What is the initial color change of coffee beans during roasting?
2796757_9,How do roasters monitor the roasting process?
2796757_9,What does Gianni Frasi say about artisanal roasting?
2796757_9,At what temperature does the first crack occur during roasting?
2796757_9,What happens to the beans after the second crack?
2796757_10,What is the significance of the 'first crack' during the coffee roasting process?
2796757_10,"At what temperature does the 'second crack' occur, and what does it indicate about the beans?"
2796757_10,How do lighter and darker roasts differ in terms of flavor profiles?
2796757_10,"What happens to the lipids inside the coffee bean during roasting, and how does this affect the roast's appearance?"
2796757_10,"According to Luca Farinotti's book, what role does the 'origin character' of the coffee play in its overall flavor?"
2796757_11,What happens to the lipids inside the coffee bean during the roasting process?
2796757_11,How do the flavors change from lighter to darker roasts regarding the origin character?
2796757_11,What is the significance of chlorogenic acids in the roasting process according to the article?
2796757_11,Does the caffeine content in coffee change significantly with the roast level?
2796757_11,What is the impact of roasting on the density of coffee beans and its caffeine content?
2796757_12,What are chlorogenic acids and why are they significant in the coffee roasting process?
2796757_12,How does roasting affect the caffeine content in coffee beans?
2796757_12,What is home roasting and why has it seen a revival in recent years?
2796757_12,What factors contribute to the shelf life of roasted coffee?
2796757_12,Why is vacuum packing important when preserving roasted coffee?
2796757_13,What factors contributed to the decline of home coffee roasting in the past?
2796757_13,What are the benefits of home coffee roasting that have led to its recent revival?
2796757_13,How can roasted coffee be preserved to extend its shelf life?
2796757_13,What is the optimal shelf life for roasted coffee and ground coffee?
